Season,Week,Celebrity,Vote_Share,Survival_Value,Judge_Score
2,4,George Hamilton,0.14285714678639105,-7.0,21.0
2,4,Lisa Rinna,0.14285714678639105,-3.0,26.0
2,4,Stacy Keibler,0.14285714678639105,-3.0,26.0
2,4,Jerry Rice,0.14285714678639105,-6.0,24.0
2,4,Drew Lachey,0.14285714678639105,-2.0,28.0
2,4,Master P,0.1428571191387965,-14.0,8.0
2,5,George Hamilton,0.16666667201481009,-5.0,24.0
2,5,Lisa Rinna,0.16666667201481009,-4.0,25.0
2,5,Stacy Keibler,0.16666667201481009,-2.0,30.0
2,5,Jerry Rice,0.16666667201481009,-6.0,23.0
2,5,Drew Lachey,0.16666667201481009,-3.0,27.0
2,5,Tia Carrere,0.16666663975928295,-12.0,22.0
2,6,Jerry Rice,0.20000019349299758,-5.0,23.0
2,6,Lisa Rinna,0.20000015478632885,-5.0,27.0
2,6,Stacy Keibler,0.20000015478632885,-3.0,30.0
2,6,Drew Lachey,0.20000015478632885,-3.0,30.0
2,6,George Hamilton,0.1999993419480157,-9.0,23.0
2,7,Jerry Rice,0.2500009676043122,-5.0,20.5
2,7,Stacy Keibler,0.24999999993656363,-3.0,27.5
2,7,Drew Lachey,0.24999999993656363,-3.0,27.5
2,7,Lisa Rinna,0.24999903227256062,-7.0,26.5
3,1,Emmitt Smith,0.11945349985104507,0.23266104702032242,24.0
3,1,Sara Evans,0.10941374392358086,0.18016846090437919,15.0
3,1,Jerry Springer,0.10682081370433706,0.1822925118171886,16.0
3,1,Monique Coleman,0.10331895850781055,0.19294160001682176,19.0
3,1,Joey Lawrence,0.10232804800315054,0.2013846517762682,21.0
3,1,Mario Lopez,0.1008557290617928,0.22349723849517655,26.0
3,1,Willa Ford,0.09992347332387516,0.20369705822904605,22.0
3,1,Vivica A. Fox,0.08942006037893199,0.19319364528410288,22.0
3,1,Harry Hamlin,0.06723916224087126,0.14742784148577603,17.0
3,1,Shanna Moakler,0.060324970930033396,0.1452306313069914,18.0
3,1,Tucker Carlson,0.04090153998740623,0.0975053135720449,12.0
3,2,Emmitt Smith,0.12254706609903143,0.22689489218553427,24.0
3,2,Sara Evans,0.11885380164482237,0.21015814947051237,21.0
3,2,Jerry Springer,0.11635023063545714,0.1989589262872719,19.0
3,2,Mario Lopez,0.10729854876810022,0.1986028965937902,21.0
3,2,Joey Lawrence,0.1063914581001629,0.23247841462135382,29.0
3,2,Monique Coleman,0.10612862856199587,0.21917210682237395,26.0
3,2,Willa Ford,0.10509766237458264,0.20509766237414787,23.0
3,2,Vivica A. Fox,0.0933565349759116,0.19770436106241446,24.0
3,2,Harry Hamlin,0.07112461939874848,0.16242896722443845,21.0
3,2,Shanna Moakler,0.0528514493502245,0.1485036232628521,22.0
3,3,Sara Evans,0.13274667922986905,0.253519626089189,25.0
3,3,Emmitt Smith,0.12898066714801198,0.22076810676109515,19.0
3,3,Jerry Springer,0.12269669498446106,0.2241459703462898,21.0
3,3,Mario Lopez,0.11721661072706334,0.22349680396326488,22.0
3,3,Monique Coleman,0.11518861349009969,0.24562339609816525,27.0
3,3,Joey Lawrence,0.1145737209022454,0.22085391413844696,22.0
3,3,Willa Ford,0.11409150912445366,0.22037170236065523,22.0
3,3,Vivica A. Fox,0.09010003658738314,0.22053481919544868,27.0
3,3,Harry Hamlin,0.06440546770992195,0.1706856609461235,22.0
3,4,Sara Evans,0.14992949506397404,0.2509395960735649,20.0
3,4,Jerry Springer,0.14005210862239578,0.25116321973294575,22.0
3,4,Emmitt Smith,0.1337164197786327,0.2549285409901417,24.0
3,4,Monique Coleman,0.1308108607783748,0.2520229819898838,24.0
3,4,Joey Lawrence,0.1298274169154711,0.26619105327841874,27.0
3,4,Mario Lopez,0.12618560900561787,0.2726502554695246,29.0
3,4,Willa Ford,0.10954459542767944,0.25095873684110664,28.0
3,4,Vivica A. Fox,0.07993349430364202,0.20114561551515106,24.0
3,5,Sara Evans,0.15940459896627676,0.29200128404841713,24.0
3,5,Jerry Springer,0.1590714322665524,0.2916681173486928,24.0
3,5,Joey Lawrence,0.15391428394028345,0.2920358309008463,25.0
3,5,Emmitt Smith,0.14811598575534277,0.29728725647275067,27.0
3,5,Monique Coleman,0.1442460575291497,0.29341732824655764,27.0
3,5,Mario Lopez,0.14277010952547842,0.2919413802428863,27.0
3,5,Willa Ford,0.09247753190203653,0.24164880261944444,27.0
3,7,Joey Lawrence,0.21514661261899518,0.42625772372854254,28.5
3,7,Emmitt Smith,0.21216004075276845,0.4232711518623158,28.5
3,7,Mario Lopez,0.20635781404172868,0.41376522144759975,28.0
3,7,Monique Coleman,0.19359654867658338,0.3935965486751019,27.0
3,7,Jerry Springer,0.172738983746476,0.3431093541155844,23.0
3,8,Emmitt Smith,0.266765196218212,0.5144716182342881,27.0
3,8,Joey Lawrence,0.2646183216444761,0.5123247436605521,27.0
3,8,Mario Lopez,0.2508118872616794,0.5122797771675375,28.5
3,8,Monique Coleman,0.21780459467506086,0.4609238607278763,26.5
4,2,Clyde Drexler,0.1284128961505727,0.20188228390537485,18.0
4,2,John Ratzenberger,0.10960049161665797,0.19531477733059383,21.0
4,2,Billy Ray Cyrus,0.10316462185101194,0.1888789075649478,21.0
4,2,Laila Ali,0.10113565647253288,0.21133973810473614,27.0
4,2,Leeza Gibbons,0.0940257521843997,0.17974003789833556,21.0
4,2,Apolo Anton Ohno,0.09216195230327384,0.19828440128243252,26.0
4,2,Ian Ziering,0.09141076242406336,0.1812066807910438,22.0
4,2,Joey Fatone,0.08800149055308058,0.18596067422615015,24.0
4,2,Heather Mills,0.08725288542991701,0.18521206910298657,24.0
4,2,Shandi Finnessey,0.060942983302138584,0.1425756363630299,20.0
4,2,Paulina Porizkova,0.043890507624555555,0.12960479333849143,21.0
4,3,Clyde Drexler,0.1313468414120972,0.20474133682460458,16.0
4,3,John Ratzenberger,0.11938560682638935,0.21112872609202354,20.0
4,3,Billy Ray Cyrus,0.10882290193791147,0.2051531771668274,21.0
4,3,Laila Ali,0.10752793527429583,0.20385821050321173,21.0
4,3,Apolo Anton Ohno,0.0984342798478504,0.20393886700332975,23.0
4,3,Ian Ziering,0.09591247137120434,0.2060042144899654,24.0
4,3,Heather Mills,0.09418812873018648,0.20427987184894753,24.0
4,3,Joey Fatone,0.09377704584306916,0.2038687889618302,24.0
4,3,Leeza Gibbons,0.09310800528242329,0.20319974840118432,24.0
4,3,Shandi Finnessey,0.057496783381875534,0.15382705861079146,21.0
4,4,Clyde Drexler,0.13837646146339777,0.2173238298840349,15.0
4,4,John Ratzenberger,0.1332097984625415,0.21742032477788775,16.0
4,4,Billy Ray Cyrus,0.11962414561842627,0.23015046140731826,21.0
4,4,Laila Ali,0.11129848534268443,0.2218248011315764,21.0
4,4,Ian Ziering,0.10565401912523888,0.23196980859825828,24.0
4,4,Apolo Anton Ohno,0.10450006900448355,0.24134217426692123,26.0
4,4,Heather Mills,0.10440294311027461,0.22545557468858485,23.0
4,4,Joey Fatone,0.09978229758914389,0.24715071864099986,28.0
4,4,Leeza Gibbons,0.08315178018350182,0.1673623064988481,16.0
4,5,John Ratzenberger,0.15038068434004767,0.25265341161219385,18.0
4,5,Billy Ray Cyrus,0.14266473173668026,0.23925564082704054,17.0
4,5,Ian Ziering,0.12344311826796177,0.25980675463082337,24.0
4,5,Laila Ali,0.12137158439380956,0.28046249348381475,28.0
4,5,Heather Mills,0.11859960535778455,0.23791778717528844,21.0
4,5,Apolo Anton Ohno,0.11744619998179757,0.2879007454353745,30.0
4,5,Clyde Drexler,0.11458299519338803,0.18844663155660474,13.0
4,5,Joey Fatone,0.11151108061591143,0.2535565351605589,25.0
4,6,John Ratzenberger,0.17592632885316298,0.28769103473485846,19.0
4,6,Billy Ray Cyrus,0.17299666975115205,0.29652608151513127,21.0
4,6,Ian Ziering,0.146782696827481,0.2879591674148858,24.0
4,6,Apolo Anton Ohno,0.13706561375559526,0.3017714961075676,28.0
4,6,Laila Ali,0.13544827300405024,0.3001541553560226,28.0
4,6,Joey Fatone,0.12917229428958843,0.2879958237004189,27.0
4,6,Heather Mills,0.10260812338972841,0.2379022410359914,23.0
4,7,Billy Ray Cyrus,0.2156837855350133,0.3386611318125345,19.0
4,7,Ian Ziering,0.170658581223941,0.34541586277620795,27.0
4,7,Apolo Anton Ohno,0.1640783963668325,0.33883567791909946,27.0
4,7,Laila Ali,0.1561425372416096,0.3470810485672346,29.5
4,7,Joey Fatone,0.15035099449900166,0.3412895058246267,29.5
4,7,John Ratzenberger,0.14308570498486006,0.2887167729450825,22.5
4,8,Ian Ziering,0.211076951133169,0.3983279471476132,23.5
4,8,Apolo Anton Ohno,0.20480803751068363,0.43588373471999775,29.0
4,8,Billy Ray Cyrus,0.19691921904739762,0.34831364135694826,19.0
4,8,Laila Ali,0.19544086112141482,0.40659623960578806,26.5
4,8,Joey Fatone,0.1917549310075952,0.4108784369819448,27.5
4,9,Apolo Anton Ohno,0.2639164338510301,0.5128615815282542,29.5
4,9,Laila Ali,0.2592742229795631,0.512438779939452,30.0
4,9,Joey Fatone,0.2592343049541942,0.5123988619140831,30.0
4,9,Ian Ziering,0.21757503798849656,0.46230077638305583,29.0
5,1,Mark Cuban,0.10602625080385387,0.18773831306034527,21.0
5,1,Cameron Mathison,0.09364968760347168,0.17536174985996308,21.0
5,1,Jane Seymour,0.09352119118904711,0.18690640519646584,24.0
5,1,Floyd Mayweather Jr. ,0.0932515215088437,0.16329043201440774,18.0
5,1,Jennie Garth,0.09272600498250107,0.17443806723899247,21.0
5,1,Marie Osmond,0.08753214516210074,0.16924420741859214,21.0
5,1,Mel B,0.08712239899651893,0.18050761300393767,24.0
5,1,Helio Castroneves,0.08689362516124803,0.18416988975230922,25.0
5,1,Wayne Newton,0.08563423957412719,0.1595642006633337,19.0
5,1,Sabrina Bryan,0.07547060181384432,0.17663791698854797,26.0
5,1,Albert Reed,0.05155303146643863,0.13326509372293002,21.0
5,1,Josie Maran,0.046619301656765096,0.10887611099504425,16.0
5,2,Mark Cuban,0.1114435898170614,0.18707384191758397,18.0
5,2,Cameron Mathison,0.09943364515376775,0.18766893927104406,21.0
5,2,Jane Seymour,0.09839305371179631,0.18662834782907262,21.0
5,2,Jennie Garth,0.09819826480208639,0.1864335589193627,21.0
5,2,Floyd Mayweather Jr. ,0.0977096039209293,0.18594489803820563,21.0
5,2,Mel B,0.09343694078895136,0.19007559625073017,23.0
5,2,Marie Osmond,0.0931309353462311,0.19397127148026116,24.0
5,2,Helio Castroneves,0.09263331769224703,0.20607869584303087,27.0
5,2,Wayne Newton,0.0875566024107118,0.1505818124944806,15.0
5,2,Sabrina Bryan,0.08036377077824242,0.189607468256775,26.0
5,2,Albert Reed,0.047700275492388464,0.1359355696096648,21.0
5,3,Mark Cuban,0.11701876815174235,0.20070077651959306,20.0
5,3,Jane Seymour,0.10664990276448758,0.21962061406108602,27.0
5,3,Cameron Mathison,0.10472785762264257,0.2009621672456709,23.0
5,3,Jennie Garth,0.10412628530650117,0.2129128961847071,26.0
5,3,Marie Osmond,0.1031822327977598,0.21196884367596572,26.0
5,3,Mel B,0.10203206953750256,0.21500278083410101,27.0
5,3,Helio Castroneves,0.10090667506632522,0.20132508510774608,24.0
5,3,Floyd Mayweather Jr. ,0.09836380678534387,0.1862299155715871,21.0
5,3,Sabrina Bryan,0.08770993340058669,0.20068064469718516,27.0
5,3,Wayne Newton,0.075282468475916,0.15059627600698164,18.0
5,4,Mark Cuban,0.1206493411076896,0.21466643512438183,22.0
5,4,Marie Osmond,0.12039710191896423,0.2315082130296005,26.0
5,4,Jane Seymour,0.11901590019344711,0.2301270113040834,26.0
5,4,Mel B,0.117067541282903,0.2281786523935393,26.0
5,4,Helio Castroneves,0.11597648155968839,0.23136109694381068,27.0
5,4,Cameron Mathison,0.11432322648492556,0.22970784186904786,27.0
5,4,Jennie Garth,0.11290173924651886,0.22828635463064118,27.0
5,4,Sabrina Bryan,0.09986940308571932,0.22807453129029964,30.0
5,4,Floyd Mayweather Jr. ,0.07979926501975174,0.17808986330992999,23.0
5,5,Marie Osmond,0.14457869654063935,0.2501063347310638,21.0
5,5,Jane Seymour,0.1348604917703873,0.26551375810138905,26.0
5,5,Helio Castroneves,0.13468940079572245,0.2502672902423778,23.0
5,5,Cameron Mathison,0.12813752189720481,0.25879078822820656,26.0
5,5,Mel B,0.12774757467482623,0.2734762178901743,29.0
5,5,Jennie Garth,0.12598764788699465,0.251615788589881,25.0
5,5,Sabrina Bryan,0.10941969657999304,0.2501232141672257,28.0
5,5,Mark Cuban,0.09457896974262188,0.20010660793304635,21.0
5,6,Marie Osmond,0.16290565422495953,0.29068343200202745,23.0
5,6,Jane Seymour,0.1588379415411972,0.28106016376274046,22.0
5,6,Helio Castroneves,0.15022700552282417,0.30578256107751556,28.0
5,6,Cameron Mathison,0.14525648441274205,0.2841453733008593,25.0
5,6,Mel B,0.14394493443453318,0.31061160110027397,30.0
5,6,Jennie Garth,0.14370524984804048,0.29370524984720714,27.0
5,6,Sabrina Bryan,0.0951227298897199,0.2340116187778372,25.0
5,7,Marie Osmond,0.18222242752030063,0.3488890941858989,26.0
5,7,Cameron Mathison,0.17635373232321863,0.33981527078370927,25.5
5,7,Helio Castroneves,0.17356299874104086,0.3402296654066391,26.0
5,7,Jennie Garth,0.17148933450669562,0.3413611293774016,26.5
5,7,Mel B,0.16677259117845633,0.33984951425426996,27.0
5,7,Jane Seymour,0.1295989155858478,0.28985532584123075,25.0
5,8,Marie Osmond,0.2176603992299548,0.40397218630078136,24.5
5,8,Jennie Garth,0.2138241296107773,0.4039381980503962,25.0
5,8,Helio Castroneves,0.20586506235070404,0.4225951003718696,28.5
5,8,Mel B,0.2026287868148443,0.4155565434672175,28.0
5,8,Cameron Mathison,0.1600216218228005,0.35393797163121177,25.5
5,9,Marie Osmond,0.27308692238192567,0.5124031616961195,28.0
5,9,Mel B,0.25626218354538777,0.5126724399534526,30.0
5,9,Helio Castroneves,0.2560405580217707,0.5124508144298356,30.0
5,9,Jennie Garth,0.21461033584383377,0.46247358370496316,29.0
6,2,Marissa Jaret Winokur,0.10439938123153976,0.18611144348803116,21.0
6,2,Marlee Matlin,0.0962596511248068,0.18964486513222556,24.0
6,2,Mario,0.09615932438203635,0.19732663955673999,26.0
6,2,Penn Jillette,0.09313365703873272,0.15928151696065435,17.0
6,2,Adam Carolla,0.08988765350592903,0.16381761459513555,19.0
6,2,Jason Taylor,0.08751900882413377,0.19257737458247987,27.0
6,2,Cristian de la Fuente,0.08680035594152467,0.16462136761437363,20.0
6,2,Shannon Elizabeth,0.08519419685098653,0.17857941085840529,24.0
6,2,Priscilla Presley,0.078600446934739,0.1603125091912304,21.0
6,2,Kristi Yamaguchi,0.07825138687284135,0.18330975263118743,27.0
6,2,Steve Guttenberg,0.05694371954397099,0.11920052888225015,16.0
6,2,Monica Seles,0.046851217667215096,0.10521697642185181,15.0
6,3,Marissa Jaret Winokur,0.11879435019739047,0.20212768353035832,19.0
6,3,Mario,0.11048970035940359,0.20259496351689438,21.0
6,3,Marlee Matlin,0.11008476279407964,0.20219002595157043,21.0
6,3,Adam Carolla,0.10786244264427118,0.19996770580176196,21.0
6,3,Cristian de la Fuente,0.10316959241324308,0.2128187152197797,25.0
6,3,Jason Taylor,0.10288969546589052,0.20376688844790422,23.0
6,3,Shannon Elizabeth,0.10193613066908715,0.2071992885633623,24.0
6,3,Priscilla Presley,0.09385581027480892,0.20789089799360702,26.0
6,3,Kristi Yamaguchi,0.0914509989722666,0.20987205160332617,27.0
6,3,Steve Guttenberg,0.05946651611427544,0.1515717792717662,21.0
6,4,Marissa Jaret Winokur,0.12503910830168186,0.23170577496787445,24.0
6,4,Mario,0.12128905229309439,0.22795571895928698,24.0
6,4,Marlee Matlin,0.11928141850110374,0.22594808516729634,24.0
6,4,Cristian de la Fuente,0.11409345595744617,0.22964901151248815,26.0
6,4,Shannon Elizabeth,0.11326119330502461,0.23770563774891598,28.0
6,4,Jason Taylor,0.11196337922818889,0.24085226811650495,29.0
6,4,Priscilla Presley,0.10393970757373279,0.201717485351076,22.0
6,4,Kristi Yamaguchi,0.10024933460183263,0.2291382234901487,29.0
6,4,Adam Carolla,0.0908833501348309,0.17532779457890002,19.0
6,5,Marissa Jaret Winokur,0.1364477569699018,0.2588967365611138,24.0
6,5,Marlee Matlin,0.13443070761635126,0.24667560557496226,22.0
6,5,Mario,0.13285384077525292,0.2706089428153664,27.0
6,5,Cristian de la Fuente,0.13193784149802415,0.24928478027293566,23.0
6,5,Shannon Elizabeth,0.1314386100137675,0.248785548788679,23.0
6,5,Jason Taylor,0.12631994652086226,0.26407504856097574,27.0
6,5,Kristi Yamaguchi,0.11496241994607084,0.26292160361878536,29.0
6,5,Priscilla Presley,0.09160887654451345,0.19875173368682397,21.0
6,6,Marissa Jaret Winokur,0.15450422693620267,0.29894867137984465,26.0
6,6,Cristian de la Fuente,0.1540065700038274,0.3040065700029941,27.0
6,6,Mario,0.1487049847935777,0.30426054034826905,28.0
6,6,Jason Taylor,0.14775027211909075,0.2810836054516833,24.0
6,6,Shannon Elizabeth,0.14701081828240561,0.2803441516149982,24.0
6,6,Kristi Yamaguchi,0.13411031742438395,0.3007769840901247,30.0
6,6,Marlee Matlin,0.1139128103111374,0.23057947697715592,21.0
6,7,Cristian de la Fuente,0.18884219155034684,0.3377095054652409,23.0
6,7,Marissa Jaret Winokur,0.18055012790998587,0.34883491755290963,26.0
6,7,Mario,0.17279321615133086,0.337841759839583,25.5
6,7,Jason Taylor,0.17170269614460207,0.3496962236515406,27.5
6,7,Kristi Yamaguchi,0.16339660774438172,0.3381538892966487,27.0
6,7,Shannon Elizabeth,0.1227151603507566,0.2877637040390087,25.5
6,8,Marissa Jaret Winokur,0.21785871622234004,0.4051246338239336,25.0
6,8,Cristian de la Fuente,0.21560321629388657,0.4290863623597032,28.5
6,8,Jason Taylor,0.21111796797641127,0.40587452228206855,26.0
6,8,Kristi Yamaguchi,0.19901953658093097,0.4050120459426838,27.5
6,8,Mario,0.1564005627533931,0.35490243541108224,26.5
6,9,Jason Taylor,0.26236925203380357,0.5123692520315308,27.5
6,9,Cristian de la Fuente,0.2583199972928619,0.5128654518360024,28.0
6,9,Kristi Yamaguchi,0.2534828444378204,0.5125737535263741,28.5
6,9,Marissa Jaret Winokur,0.22582790602836023,0.46219154238984783,26.0
7,1,Jeffrey Ross,0.10934791723462335,0.156966964853482,12.0
7,1,Cloris Leachman,0.09670295737187674,0.16019502086368828,16.0
7,1,Rocco DiSpirito,0.0939735019168823,0.16341794636105117,17.5
7,1,Susan Lucci,0.08548530028238335,0.15889799869479043,18.5
7,1,Lance Bass,0.08236766055653189,0.16768512087365364,21.5
7,1,Maurice Greene,0.082146162934708,0.15952711531535332,19.5
7,1,Cody Linley,0.07667829148918888,0.1580274978380724,20.5
7,1,Misty May-Treanor,0.0745506542393122,0.15788398757231487,21.0
7,1,Warren Sapp,0.07335771083054286,0.1586751711476646,21.5
7,1,Brooke Burke,0.06848438840102172,0.16570661062285813,24.5
7,1,Toni Braxton,0.06773609839820002,0.15702181268356002,22.5
7,1,Kim Kardashian,0.05565273420509841,0.1290654326175055,18.5
7,1,Ted McGinley,0.03351662206526035,0.10692932047766744,18.5
7,2,Cloris Leachman,0.11490522661027328,0.18277852977738696,15.0
7,2,Rocco DiSpirito,0.10968599904422044,0.1820841890891417,16.0
7,2,Susan Lucci,0.10195470489909705,0.19697732933305623,21.0
7,2,Maurice Greene,0.0980583022830794,0.18403115296142342,19.0
7,2,Lance Bass,0.09544768604181784,0.18594542359796945,20.0
7,2,Cody Linley,0.08957847615925298,0.18460110059321216,21.0
7,2,Misty May-Treanor,0.0879147851555687,0.18293740958952787,21.0
7,2,Warren Sapp,0.08749909010383562,0.19609637517121753,24.0
7,2,Toni Braxton,0.07996055886078049,0.18403295705035483,23.0
7,2,Brooke Burke,0.07952127376825695,0.18811855883563888,24.0
7,2,Kim Kardashian,0.05547389698725372,0.13239697390998256,17.0
7,4,Cloris Leachman,0.12766198342106155,0.23603636765698088,22.0
7,4,Maurice Greene,0.12343557825210656,0.22195774573930596,20.0
7,4,Lance Bass,0.12265026039349944,0.25072907812685863,26.0
7,4,Susan Lucci,0.12237920882659109,0.24060580981123036,24.0
7,4,Warren Sapp,0.11387332478406301,0.22224770901998236,22.0
7,4,Cody Linley,0.1137051398280234,0.2270056324383027,23.0
7,4,Brooke Burke,0.09766638264733593,0.22574520038069515,26.0
7,4,Toni Braxton,0.09541036490736395,0.2037847491432833,22.0
7,4,Rocco DiSpirito,0.08321775683683642,0.1718877075753159,18.0
7,5,Cloris Leachman,0.14021627550742255,0.24790858319917797,21.0
7,5,Lance Bass,0.14021605914528343,0.24790836683703887,21.0
7,5,Susan Lucci,0.1350421149659565,0.24786262778589074,22.0
7,5,Maurice Greene,0.1319262679758694,0.2703878064366978,27.0
7,5,Warren Sapp,0.13058846519006487,0.2587935933945356,25.0
7,5,Cody Linley,0.1271517427534789,0.2707414863424862,28.0
7,5,Brooke Burke,0.10977193308023396,0.25848988179742005,29.0
7,5,Toni Braxton,0.08508714126831685,0.19790765408825112,22.0
7,6,Warren Sapp,0.15603557410880187,0.3122855741078253,25.0
7,6,Lance Bass,0.1535147679439468,0.32226476794289216,27.0
7,6,Cody Linley,0.1493534334459067,0.2931034334450083,23.0
7,6,Maurice Greene,0.14588266744580464,0.2771326674449843,21.0
7,6,Susan Lucci,0.1331139396927001,0.2768639396918017,23.0
7,6,Cloris Leachman,0.13304163783728534,0.22679163783669942,15.0
7,6,Brooke Burke,0.12905797939896624,0.2915579793979506,26.0
7,7,Warren Sapp,0.19192288731161652,0.33478003016778757,21.0
7,7,Cody Linley,0.18517212467950014,0.3348319886240603,22.0
7,7,Lance Bass,0.1768957946626599,0.34696382187238733,25.0
7,7,Maurice Greene,0.16469968174225835,0.3347677089519858,25.0
7,7,Brooke Burke,0.1598173016067304,0.36389893425840336,30.0
7,7,Susan Lucci,0.12149220984853464,0.284757515969873,24.0
7,8,Warren Sapp,0.2207172282718518,0.4324819341525439,27.0
7,8,Cody Linley,0.21196165735786526,0.400196951474036,24.0
7,8,Lance Bass,0.20475069642675486,0.400829127797766,25.0
7,8,Brooke Burke,0.2006487309493883,0.4163350054575006,27.5
7,8,Maurice Greene,0.1619216868227693,0.35015698093894,24.0
7,9,Warren Sapp,0.2652118011940845,0.508992895719022,24.5
7,9,Brooke Burke,0.2638376183397706,0.507618712864708,24.5
7,9,Lance Bass,0.2422491308251939,0.5258312203746109,28.5
7,9,Cody Linley,0.2287014494345487,0.45755717082530634,23.0
8,1,Steve-O,0.10491427515585572,0.17487312289219334,17.0
8,1,Steve Wozniak,0.10282309734934358,0.1563210397359547,13.0
8,1,Holly Madison,0.09239620430782665,0.1664702783815959,18.0
8,1,Lawrence Taylor,0.09024293593281231,0.1560865573317183,16.0
8,1,David Alan Grier,0.08734010071288532,0.1655294011240862,19.0
8,1,Denise Richards,0.08196942173801425,0.1560434958117835,18.0
8,1,Chuck Wicks,0.07829905036717479,0.16060357711580728,20.0
8,1,Lil' Kim,0.0696926871723978,0.1561124402584619,21.0
8,1,Melissa Rycroft,0.06888089988278813,0.16353110564371548,23.0
8,1,Shawn Johnson,0.06861974847522644,0.1632699542361538,23.0
8,1,Gilles Marini,0.06781344955589934,0.16657888165425833,24.0
8,1,Ty Murray,0.048480858041804735,0.10609402676584748,14.0
8,1,Belinda Carlisle,0.03852727123366899,0.10848611897000661,17.0
8,2,Steve-O,0.10496415038295269,0.1577943390619986,14.0
8,2,Steve Wozniak,0.09553127177751398,0.15968221517349834,17.0
8,2,Holly Madison,0.09544989079846884,0.1633744191000993,18.0
8,2,David Alan Grier,0.08870022056134683,0.15285116395733117,17.0
8,2,Lawrence Taylor,0.08863291386147933,0.16410461197440207,20.0
8,2,Chuck Wicks,0.07796241073768574,0.15343410885060849,20.0
8,2,Denise Richards,0.07364301615955562,0.15288829917812452,21.0
8,2,Melissa Rycroft,0.06991357705165296,0.16802678459845255,26.0
8,2,Shawn Johnson,0.06900014306727915,0.15956618080278645,24.0
8,2,Lil' Kim,0.06873786521410499,0.15553031804396616,23.0
8,2,Gilles Marini,0.0680656799104773,0.169952472362923,27.0
8,2,Ty Murray,0.06446271673207991,0.13993441484500269,20.0
8,2,Belinda Carlisle,0.03493614367085536,0.10286067197248584,18.0
8,3,Steve-O,0.11183338238019531,0.17088850049019905,15.0
8,3,Holly Madison,0.10391759355299109,0.17084672741099532,17.0
8,3,Steve Wozniak,0.09481924414221025,0.13418932288221275,10.0
8,3,Lawrence Taylor,0.09228178310869668,0.17102194058870163,20.0
8,3,Chuck Wicks,0.08310172180395435,0.17365290290596005,23.0
8,3,David Alan Grier,0.08246981369358247,0.17695800266958844,24.0
8,3,Ty Murray,0.08017938427350473,0.17073056537551043,23.0
8,3,Melissa Rycroft,0.0752196085060423,0.181518821104049,27.0
8,3,Shawn Johnson,0.07344567909631267,0.17974489169431937,27.0
8,3,Lil' Kim,0.07277813971385416,0.1712033365638604,25.0
8,3,Gilles Marini,0.07206992716286689,0.1783691397608736,27.0
