season,week,method,predicted_elimination,actual_elimination,correct,margin
7,4,percent,Rocco DiSpirito,Rocco DiSpirito,True,0.020641011305308155
7,5,percent,Toni Braxton,Toni Braxton,True,0.0001000000000000445
7,6,percent,Cloris Leachman,Cloris Leachman,True,0.06691159435261754
7,7,percent,Susan Lucci,Susan Lucci,True,9.999999999998899e-05
7,8,percent,Maurice Greene,Maurice Greene,True,9.999999999998899e-05
7,9,percent,Cody Linley,Cody Linley,True,0.03187681785715252
7,10,percent,Warren Sapp,,,0.010506542686870679
8,1,percent,Steve Wozniak,,,0.008230452674897124
8,2,percent,Belinda Carlisle,Belinda Carlisle,True,0.00010000000000001674
8,3,percent,Denise Richards,Denise Richards,True,9.999999999998899e-05
8,4,percent,Steve Wozniak,Steve Wozniak,True,0.02199262185909115
8,5,percent,David Alan Grier,David Alan Grier,True,9.999999999996123e-05
8,6,percent,Steve-O,Steve-O,True,0.01784775613487516
8,7,percent,Lawrence Taylor,Lawrence Taylor,True,0.02298293816003172
8,8,percent,Chuck Wicks,Chuck Wicks,True,9.999999999998899e-05
8,9,percent,Lil' Kim,Lil' Kim,True,9.999999999998899e-05
8,10,percent,Ty Murray,Ty Murray,True,0.05591780738202995
8,11,percent,Melissa Rycroft,,,0.016248295235877785
9,1,percent,Ashley Hamiliton,Ashley Hamiliton,True,0.0
9,2,percent,Kathy Ireland,Kathy Ireland,True,0.00010000000000000286
9,3,percent,Tom DeLay,Debi Mazar,True,0.005414577793104225
9,4,percent,Chuck Liddell,Chuck Liddell,True,9.999999999996123e-05
9,5,percent,Natalie Coughlin,Natalie Coughlin,True,9.999999999998899e-05
9,6,percent,Melissa Joan Hart,Melissa Joan Hart,True,0.0
9,7,percent,Mark Dacascos,Mark Dacascos,True,0.009648255581927667
9,8,percent,Aaron Carter,Aaron Carter,True,9.999999999998899e-05
9,9,percent,Joanna Krupa,Joanna Krupa,True,9.999999999998899e-05
9,10,percent,Kelly Osbourne,,,0.07465875670662558
10,1,percent,Buzz Aldrin,,,0.009569377990430644
10,2,percent,Shannen Doherty,Shannen Doherty,True,9.999999999998899e-05
10,3,percent,Buzz Aldrin,Buzz Aldrin,True,0.010607799761702952
10,4,percent,Aiden Turner,Aiden Turner,True,0.00010000000000001674
10,5,percent,Kate Gosselin,Kate Gosselin,True,0.03271258704875263
10,6,percent,Jake Pavelka,Jake Pavelka,True,9.999999999998899e-05
10,7,percent,Pamela Anderson,Pamela Anderson,True,9.999999999998899e-05
10,8,percent,Niecy Nash,Niecy Nash,True,0.014473370197606306
10,9,percent,Chad Ochocinco,Chad Ochocinco,True,0.038650733824216965
10,10,percent,Erin Andrews,,,0.0020418838253375426
11,1,percent,David Hasselhoff,David Hasselhoff,True,0.00010000000000001674
11,2,percent,Michael Bolton,Michael Bolton,True,0.042362288872042436
11,3,percent,Margaret Cho,Margaret Cho,True,0.01399309846258806
11,4,percent,The Situation,The Situation,True,0.019713445995224288
11,5,percent,Florence Henderson,Florence Henderson,True,9.999999999998899e-05
11,6,percent,Audrina Patridge,Audrina Patridge,True,9.999999999998899e-05
11,7,percent,Rick Fox,Rick Fox,True,9.999999999998899e-05
11,8,percent,Kurt Warner,Kurt Warner,True,9.999999999998899e-05
11,9,percent,Brandy,Brandy,True,9.999999999998899e-05
11,10,percent,Bristol Palin,,,0.03260511116287024
12,1,percent,Mike Catherwood,,,0.009661835748792286
12,2,percent,Mike Catherwood,Mike Catherwood,True,0.0018115942065152768
12,3,percent,Wendy Williams,Wendy Williams,True,0.040165211186231564
12,4,percent,Sugar Ray Leonard,Sugar Ray Leonard,True,9.999999999998899e-05
12,5,percent,Petra Nemcova,Petra Nemcova,True,0.00010000000000001674
12,6,percent,Chris Jericho,Chris Jericho,True,0.013747503814718454
12,7,percent,Kendra Wilkinson,Kendra Wilkinson,True,9.999999999993348e-05
12,8,percent,Romeo,Romeo,True,9.999999999998899e-05
12,9,percent,Ralph Macchio,Ralph Macchio,True,0.039675652707791664
12,10,percent,Kirstie Alley,,,0.04054429098976842
13,1,percent,Metta World Peace (Ron),Metta World Peace (Ron),True,0.00921658986175114
13,2,percent,Elisabetta Canalis,Elisabetta Canalis,True,9.999999999998899e-05
13,3,percent,Kristin Cavallari,Kristin Cavallari,True,9.999999999996123e-05
13,4,percent,Chynna Phillips,Chynna Phillips,True,9.999999999998899e-05
13,5,percent,Carson Kressley,Carson Kressley,True,0.01742345890149677
13,6,percent,Chaz Bono,Chaz Bono,True,0.015227254712552069
13,7,percent,David Arquette,David Arquette,True,0.00010000000000010001
13,8,percent,Nancy Grace,Nancy Grace,True,0.04637679161582464
13,9,percent,Hope Solo,Hope Solo,True,0.059503667863058385
13,10,percent,J.R. Martinez,,,0.007364389666275839
14,1,percent,Melissa Gilbert,,,0.0
14,2,percent,Martina Navratilova,Martina Navratilova,True,0.016248451054598267
14,3,percent,Jack Wagner,Jack Wagner,True,9.999999999996123e-05
14,4,percent,Sherri Sheperd,Sherri Sheperd,True,0.00010000000000001674
14,5,percent,Gavin DeGraw,Gavin DeGraw,True,0.013406049913889079
14,6,percent,Gladys Knight,Gladys Knight,True,0.03240703031661757
14,7,percent,Jaleel White,Jaleel White,True,9.999999999998899e-05
14,8,percent,Melissa Gilbert,Roshon Fegan,True,0.01826552265933301
14,9,percent,Maria Menounos,Maria Menounos,True,9.999999999998899e-05
14,10,percent,Donald Driver,,,0.000964459963765929
15,1,percent,Pamela Anderson,Pamela Anderson,True,0.014466546112115702
15,2,percent,Joey Fatone,Joey Fatone,True,0.00010000000000001674
15,3,percent,Helio Castroneves,Helio Castroneves,True,0.0
15,4,percent,Bristol Palin,Bristol Palin,True,0.00010000000000001674
15,5,percent,Kirstie Alley,,,0.0009617403090990129
15,6,percent,Sabrina Bryan,Sabrina Bryan,True,9.999999999998899e-05
15,7,percent,Kirstie Alley,,,0.036032806823214775
15,8,percent,Kirstie Alley,Gilles Marini,True,0.03206864856636482
15,9,percent,Emmitt Smith,Apolo Anton Ohno,True,0.009725890465813847
15,10,percent,Shawn Johnson,,,0.001079812112339984
16,1,percent,D. L. Hughley,,,0.04366812227074238
16,2,percent,Dorothy Hamill,Dorothy Hamill,True,9.999999999998899e-05
16,3,percent,Wynonna Judd,Wynonna Judd,True,0.0025479711136751904
16,4,percent,Lisa Vanderpump,Lisa Vanderpump,True,0.002160314340441255
16,5,percent,D. L. Hughley,D. L. Hughley,True,0.0018332276307598538
16,6,percent,Victor Ortiz,Victor Ortiz,True,0.009832505374419098
16,7,percent,Andy Dick,Andy Dick,True,0.06708065805952934
16,8,percent,Sean Lowe,Sean Lowe,True,0.032377966088169396
16,9,percent,Ingo Rademacher,Ingo Rademacher,True,0.036519584287010465
16,10,percent,Alexandra Raisman,Alexandra Raisman,True,9.999999999998899e-05
17,1,percent,Bill Nye,,,0.0234375
17,2,percent,Keyshawn Johnson,Keyshawn Johnson,True,0.00010000000000001674
17,3,percent,Bill Nye,Bill Nye,True,0.003858492596010954
17,4,percent,Valerie Harper,Valerie Harper,True,0.028486600861773903
17,5,percent,Christina Milian,Christina Milian,True,0.00010000000000001674
17,6,percent,Bill Engvall,,,0.022653691018900968
17,7,percent,"Nicole ""Snooki"" Polizzi","Nicole ""Snooki"" Polizzi",True,9.999999999998899e-05
17,8,percent,Brant Daugherty,Brant Daugherty,True,9.999999999993348e-05
17,9,percent,Elizabeth Berkley Lauren,Elizabeth Berkley Lauren,True,0.0001000000000000445
17,10,percent,Leah Remini,Leah Remini,True,9.999999999998899e-05
17,11,percent,Bill Engvall,Bill Engvall,True,0.038644050789133966
18,1,percent,Billy Dee Williams,,,0.022900763358778622
18,2,percent,Billy Dee Williams,Billy Dee Williams,True,0.047643442622690796
18,3,percent,Drew Carey,,,0.005225080385786007
18,4,percent,Candace Cameron Bure,,,0.01833756099272149
18,5,percent,Cody Simpson,Cody Simpson,True,0.00010000000000001674
18,6,percent,Drew Carey,Drew Carey,True,9.999999999998899e-05
18,7,percent,NeNe Leakes,NeNe Leakes,True,0.016852293348179004
18,8,percent,Danica McKellar,Danica McKellar,True,9.999999999998899e-05
18,9,percent,Charlie White,Charlie White,True,9.999999999998899e-05
18,10,percent,James Maslow,James Maslow,True,9.999999999993348e-05
19,1,percent,Lolo Jones,Lolo Jones,True,9.999999999998899e-05
19,2,percent,Tavis Smiley,Tavis Smiley,True,0.00010000000000001674
19,3,percent,Randy Couture,Randy Couture,True,0.008270168212934359
19,4,percent,Betsey Johnson,Betsey Johnson,True,9.999999999996123e-05
19,5,percent,Michael Waltrip,,,0.01996300476215135
19,6,percent,Jonathan Bennett,Jonathan Bennett,True,9.999999999996123e-05
19,7,percent,Antonio Sabato Jr.,Antonio Sabato Jr.,True,0.00010000000000001674
19,8,percent,Michael Waltrip,Michael Waltrip,True,0.02682959664092177
19,9,percent,Lea Thompson,Lea Thompson,True,9.999999999998899e-05
19,10,percent,Tommy Chong,Tommy Chong,True,0.056442143573515735
19,11,percent,Bethany Mota,Bethany Mota,True,0.011070447554188345
20,1,percent,Charlotte McKinney,,,0.0
20,2,percent,Redfoo,Redfoo,True,0.0001000000000000445
20,3,percent,Charlotte McKinney,Charlotte McKinney,True,0.0022087819128676633
20,4,percent,Michael Sam,Michael Sam,True,9.999999999998899e-05
20,5,percent,Suzanne Somers,Suzanne Somers,True,9.999999999998899e-05
20,6,percent,Patti LaBelle,Patti LaBelle,True,0.00043473451759490356
20,7,percent,Willow Shields,Willow Shields,True,9.999999999993348e-05
20,8,percent,Robert Herjavec,Robert Herjavec,True,0.005356981193373356
20,9,percent,Nastia Liukin,Nastia Liukin,True,0.0001000000000000445
20,10,percent,Noah Galloway,,,0.056171558263169885
21,1,percent,Kim Zolciak-Biermann,,,0.007999999999999993
21,2,percent,Chaka Khan,Victor Espinoza,True,0.01843010301795961
21,3,percent,Paula Deen,,,0.027520240302331134
21,4,percent,Gary Busey,Gary Busey,True,0.009598637310358149
21,5,percent,Paula Deen,,,0.028031797419261373
21,6,percent,Paula Deen,Paula Deen,True,0.03792454224905378
21,7,percent,Hayes Grier,Hayes Grier,True,9.999999999998899e-05
21,8,percent,Andy Grammer,Andy Grammer,True,0.005188674178510544
21,9,percent,Tamar Braxton,Alexa PenaVega,True,0.02795361554354392
21,10,percent,Nick Carter,,,0.02240083297415918
21,11,percent,Carlos PenaVega,Carlos PenaVega,True,9.999999999998899e-05
22,1,percent,Geraldo Rivera,,,0.016877637130801704
22,2,percent,Geraldo Rivera,Geraldo Rivera,True,0.018518021883161817
22,3,percent,Mischa Barton,Mischa Barton,True,0.01833975364640228
22,4,percent,Marla Maples,Marla Maples,True,9.999999999998899e-05
22,5,percent,Antonio Brown,,,0.007288669305614892
22,6,percent,Doug Flutie,Doug Flutie,True,0.022555550427947713
22,7,percent,Kim Fields,Kim Fields,True,0.0
22,8,percent,Jodie Sweetin,Jodie Sweetin,True,9.999999999998899e-05
22,9,percent,Antonio Brown,Antonio Brown,True,0.018983587834000337
22,10,percent,Ginger Zee,,,0.010323641778496317
23,1,percent,Rick Perry,,,0.012121212121212116
23,2,percent,Jake T. Austin,Jake T. Austin,True,9.999999999998899e-05
23,3,percent,Rick Perry,Rick Perry,True,0.0027919944000532604
23,4,percent,Babyface,Babyface,True,0.023668353395487896
23,5,percent,Ryan Lochte,,,0.001661672999882402
23,6,percent,Amber Rose,Amber Rose,True,0.010032610329180819
23,7,percent,Maureen McCormick,Maureen McCormick,True,0.0001000000000000445
23,8,percent,Ryan Lochte,Ryan Lochte,True,9.999999999998899e-05
23,9,percent,Marilu Henner,Marilu Henner,True,0.012201653285902836
23,10,percent,Terra Jole,Terra Jole,True,9.999999999998899e-05
23,11,percent,Jana Kramer,Jana Kramer,True,0.031144839042248185
24,1,percent,Chris Kattan,,,0.01986754966887419
24,2,percent,Chris Kattan,Chris Kattan,True,0.003725165563459115
24,3,percent,Charo,Charo,True,0.00010000000000001674
24,4,percent,Mr. T,Mr. T,True,0.012728749910011772
24,5,percent,Erika Jayne,Erika Jayne,True,9.999999999998899e-05
24,6,percent,Heather Morris,Heather Morris,True,9.999999999998899e-05
24,7,percent,Nancy Kerrigan,Nancy Kerrigan,True,1.1102230246251565e-16
24,8,percent,Bonner Bolton,Bonner Bolton,True,0.030602309461992494
24,9,percent,Simone Biles,Simone Biles,True,9.999999999998899e-05
24,10,percent,David Ross,,,0.04089496647603652
25,1,percent,Barbara Corcoran,,,0.00836820083682005
25,2,percent,Barbara Corcoran,Barbara Corcoran,True,0.019508259200887446
25,3,percent,Sasha Pieterse,,,0.00972539895960492
25,4,percent,Derek Fisher,Derek Fisher,True,0.0001000000000000445
25,5,percent,Sasha Pieterse,Sasha Pieterse,True,0.0001000000000000445
25,6,percent,Nick Lachey,Nick Lachey,True,0.022099966784963898
25,7,percent,Nikki Bella,Nikki Bella,True,0.012695950725825328
25,8,percent,Terrell Owens,Terrell Owens,True,9.999999999993348e-05
25,9,percent,Victoria Arlen,Victoria Arlen,True,9.999999999998899e-05
25,10,percent,Drew Scott,Drew Scott,True,0.009370070678970388
26,1,percent,Jamie Anderson,Jamie Anderson,True,0.0
26,2,percent,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,True,0.024753025397485362
26,3,percent,Jennie Finch Daigle,Jennie Finch Daigle,True,0.02844246483479118
26,4,percent,Tonya Harding,,,0.014415166594042406
27,1,percent,Nikki Glaser,Nikki Glaser,True,9.999999999998899e-05
27,2,percent,Danelle Umstead,Danelle Umstead,True,9.999999999998899e-05
27,3,percent,Nancy McKeon,Nancy McKeon,True,0.00010000000000001674
27,4,percent,Tinashe,Tinashe,True,9.999999999998899e-05
27,5,percent,Joe Amabile,,,0.020624987094294944
27,6,percent,Mary Lou Retton,Mary Lou Retton,True,9.999999999998899e-05
27,7,percent,John Schneider,John Schneider,True,0.0
27,8,percent,Joe Amabile,Juan Pablo Di Pace,True,0.03138650505936874
27,9,percent,Bobby Bones,,,0.01541810095693863
28,1,rank,Lamar Odom,,,2.0
28,2,rank,Ray Lewis,Ray Lewis,True,0.5
28,3,rank,Lamar Odom,,,2.0
28,4,rank,Lamar Odom,Lamar Odom,True,2.0
28,5,rank,Sean Spicer,,,2.0
28,6,rank,Hannah Brown,Sailor Brinkley-Cook,False,2.5
28,7,rank,Karamo Brown,Karamo Brown,True,0.0
28,8,rank,Lauren Alaina,Kate Flannery,True,0.0
28,9,rank,Sean Spicer,Sean Spicer,True,2.0
28,10,rank,James Van Der Beek,James Van Der Beek,True,2.5
28,11,rank,Lauren Alaina,,,2.0
29,1,rank,Carole Baskin,,,2.0
29,2,rank,Charles Oakley,Charles Oakley,True,1.0
29,3,rank,Carole Baskin,Carole Baskin,True,2.0
29,4,rank,Anne Heche,Anne Heche,True,1.0
29,5,rank,Jesse Metcalfe,Jesse Metcalfe,True,1.0
29,6,rank,Skai Jackson,Veron Davis,True,0.0
29,7,rank,Jeannie Mai,Monica Aldama,True,0.0
29,8,rank,Nelly,Chrishell Stause,False,0.0
29,9,rank,Nelly,AJ McLean,True,0.0
29,10,rank,Skai Jackson,Skai Jackson,True,0.5
29,11,rank,Nelly,,,3.0
30,1,rank,Martin Kove,,,2.0
30,2,rank,Martin Kove,Martin Kove,True,2.0
30,3,rank,Brian Austin Green,Christine Chiu,False,1.0
30,4,rank,Brian Austin Green,Brian Austin Green,True,2.0
30,5,rank,Cody Rigsby,Melanie C,False,1.0
30,6,rank,Kenya Moore,Kenya Moore,True,2.5
30,7,rank,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin",True,3.0
30,8,rank,Jimmie Allen,Jimmie Allen,True,0.0
30,9,rank,Melora Hardin,Melora Hardin,True,0.5
30,10,rank,Cody Rigsby,,,2.0
31,1,rank,Vinny Guadagnino,Jason Lewis,True,0.0
31,2,rank,Teresa Giudice,Teresa Giudice,True,0.0
31,3,rank,Vinny Guadagnino,Cheryl Ladd,True,0.0
31,4,rank,Sam Champion,Sam Champion,True,2.5
31,5,rank,Daniel Durant,Selma Blair,True,2.0
31,6,rank,Jessie James Decker,Jessie James Decker,True,0.0
31,7,rank,Vinny Guadagnino,Jordin Sparks,True,0.0
31,8,rank,Vinny Guadagnino,Heidi D'Amelio,True,2.0
31,9,rank,Trevor Donovan,Trevor Donovan,True,2.0
31,10,rank,Shangela,,,1.0
32,1,rank,Matt Walsh,Matt Walsh,True,1.0
32,2,rank,Harry Jowsey,Jamie Lynn Spears,False,1.0
32,3,rank,Tyson Beckford,Tyson Beckford,True,2.0
32,4,rank,Alyson Hannigan,Adrian Peterson,False,2.0
32,5,rank,Alyson Hannigan,Mira Sorvino,False,0.0
32,6,rank,Alyson Hannigan,Mauricio Umansky,False,1.0
32,7,rank,Barry Williams,Lele Pons,False,2.0
32,8,rank,Harry Jowsey,Barry Williams,True,0.0
32,9,rank,Harry Jowsey,Harry Jowsey,True,2.0
32,10,rank,Alyson Hannigan,,,2.0
32,11,rank,Alyson Hannigan,,,2.5
33,1,rank,Eric Roberts,,,2.0
33,2,rank,Reginald VelJohnson,Tori Spelling,True,0.5
33,3,rank,Reginald VelJohnson,Eric Roberts,True,2.0
33,4,rank,Brooks Nader,Brooks Nader,True,0.0
33,5,rank,Phaedra Parks,Phaedra Parks,True,1.0
33,6,rank,Stephen Nedoroscik,Jenn Tran,False,0.5
33,7,rank,Dwight Howard ,Dwight Howard ,True,2.0
33,8,rank,Stephen Nedoroscik,,,2.0
33,9,rank,Danny Amendola,,,2.0
34,1,rank,Andy Richter,,,1.0
34,2,rank,Corey Feldman,Corey Feldman,True,0.0
34,3,rank,Lauren Jauregui,Lauren Jauregui,True,1.0
34,4,rank,Scott Hoying,Hilaria Baldwin,False,1.0
34,5,rank,Andy Richter,,,2.5
34,6,rank,Andy Richter,Scott Hoying,True,0.0
34,7,rank,Jen Affleck,Jen Affleck,True,0.0
34,8,rank,Danielle Fishel,Danielle Fishel,True,0.0
34,9,rank,Andy Richter,Andy Richter,True,2.0
34,10,rank,Elaine Hendrix,Whitney Leavitt,True,1.0
34,11,rank,Elaine Hendrix,,,2.0
